"Major Department","Minor Department","Major Category","Minor Category",Item,UPC,"UPC Fixed",Description,"Case (LBS)","Landed Cost","Sale Price","Regular Price",Code,Stock,SKU,Category,Images,l,w,h,Pack,Size,Measure
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","995 - KETCHUP-FOODSERVICE",885483,6876101008,068761010089,"PC KETCHUP",21.50,18.42,24.87,29.1,EDM,68,EDM885483,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/885483/885483.jpg,10.00,10.00,10.00,2,4,LT
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","996 - KETCHUP-FOODSERVICE PORTION",859744,75931801002,759318010026,"PC KETCHUP 8ML",11.20,12.54,16.93,19.81,EDM,175,EDM859744,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/859744/859744.jpg,13.20,9.70,5.20,1,500,PK
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","997 - KETCHUP-FOODSERVICE BULK",762716,75931801010,759318010101,"PC KETCHUP VOL-PAK",29.80,22.22,30,35.11,EDM,230,EDM762716,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/762716/762716.jpg,15.50,13.10,4.50,1,11.3,LT
"1 - GROCERY",CONDIMENTS,"10 - KETCHUP","995 - KETCHUP-FOODSERVICE",2421261,75931899750,759318997501,"PUMP KETCHUP/MUSTARD  4LT",0.33,5.18,6.99,8.18,EDM,24,EDM2421261,"Bulk Foods & Wholesale Grocery>CONDIMENTS",,17.80,6.70,3.90,1,4,LT
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","995 - MUSTARD-FOODSERVICE",431908,6712314388,067123143885,"FLEUR DE DIJON MUSTARD  - STRONG",11.57,18.18,24.54,28.72,EDM,28,EDM431908,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/431908/431908.jpg,18.50,9.50,7.50,1,4.62,LT
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","995 - MUSTARD-FOODSERVICE",824466,6712314390,067123143908,"FLEUR DE DIJON MUSTARD STRONG",11.24,23.84,32.18,37.67,EDM,2,EDM824466,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/824466/824466.jpg,5.00,12.50,5.50,6,750,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","400 - MUSTARD-FRENCHS SPEC 325ML",997098,5620076226,056200762262,"FRCHS BLD/SPICY DELI MSTD SQZE",10.71,29.49,39.81,46.59,EDM,39,EDM997098,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/997098/997098.jpg,13.20,6.10,6.30,12,325,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","400 - MUSTARD-FRENCHS SPEC 325ML",997122,5620076227,056200762279,"FRCHS DIJON MUSTARD SQZE",10.71,29.49,39.81,46.59,EDM,33,EDM997122,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/997122/997122.jpg,9.70,8.20,6.80,12,325,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","400 - MUSTARD-FRENCHS SPEC 325ML",962068,5620081044,056200810444,"FRCHS HNY DIJON MSTD SQZE",10.71,29.49,39.81,46.59,EDM,21,EDM962068,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/962068/962068.jpg,13.20,6.10,6.90,12,325,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","400 - MUSTARD-FRENCHS SPEC 325ML",997163,5620076228,056200762286,"FRCHS HONEY MUSTARD SQZE",11.19,29.50,39.83,46.61,EDM,29,EDM997163,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/997163/997163.jpg,9.70,8.20,6.80,12,325,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","995 - MUSTARD-FOODSERVICE",981142,5620082186,056200821860,"FRCHS MUSTARD YELLOW",14.00,10.38,14.01,16.4,EDM,16,EDM981142,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/981142/981142.jpg,13.30,5.80,13.30,2,2.9,LT
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","215 - MUSTARD-FRENCHS SQUEEZE 225ML",996959,5620076216,056200762163,"FRCHS PREP SQZE MUSTARD",7.05,16.28,21.98,25.72,EDM,129,EDM996959,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/996959/996959.jpg,8.90,7.30,6.30,12,225,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","210 - MUSTARD-FRENCHS SQUEEZE 400ML",996991,5620076217,056200762170,"FRCHS PREP SQZE MUSTARD",16.20,33.77,45.59,53.36,EDM,169,EDM996991,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/996991/996991.jpg,13.90,8.20,7.20,16,400,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","210 - MUSTARD-FRENCHS SQUEEZE 400ML",916148,5620093304,056200933044,"FRCHS SPICY YELLOW MUST",12.01,25.32,34.18,40.01,EDM,18,EDM916148,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/916148/916148.jpg,10.30,8.60,7.10,12,400,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","400 - MUSTARD-FRENCHS SPEC 325ML",6219687,5620099339,056200993390,"FRCHS ST GRD DIJON MSTD   SQZE",10.72,29.49,39.81,46.59,EDM,26,EDM6219687,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/6219687/6219687.jpg,13.20,6.10,6.90,12,325,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","400 - MUSTARD-FRENCHS SPEC 325ML",285080,5620095805,056200958054,"FRCHS SUP YELL MUSTD GF",10.71,29.49,39.81,46.59,EDM,0,EDM285080,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/285080/285080.jpg,9.70,8.20,6.80,12,325,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","210 - MUSTARD-FRENCHS SQUEEZE 400ML",916130,5620093303,056200933037,"FRCHS SWEET YELLOW MUST",13.42,25.36,34.24,40.07,EDM,54,EDM916130,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/916130/916130.jpg,10.30,8.60,7.10,12,400,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","400 - MUSTARD-FRENCHS SPEC 325ML",997148,5620076229,056200762293,"FRCHS SWT ONION MSTD SQZE",11.19,29.50,39.83,46.61,EDM,13,EDM997148,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/997148/997148.jpg,9.70,8.20,6.80,12,325,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","205 - MUSTARD-FRENCHS SQUEEZE 550ML",268250,5620082855,056200828555,"FRCHS YELLW MUSTARD SQZ",16.73,32.01,43.21,50.58,EDM,137,EDM268250,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/268250/268250.jpg,11.40,9.40,7.70,12,550,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","995 - MUSTARD-FOODSERVICE",108381,5700001996,057000019969,"HEINZ MUSTARD JUG PLASTIC",28.00,22.25,30.04,35.16,EDM,52,EDM108381,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/108381/108381.jpg,13.50,11.80,7.70,4,2.84,LT
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","255 - MUSTARD HEINZ-DIJON 265ML",773861,5700003833,057000038335,"HZ MUSTARD DIJON",5.53,11.54,15.58,18.23,EDM,43,EDM773861,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/773861/773861.jpg,13.30,11.90,8.30,8,265,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","250 - MUSTARD HEINZ 380ML",258830,5700003635,057000036355,"HZ MUSTARD ORG",11.92,19.61,26.47,30.98,EDM,50,EDM258830,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/258830/258830.jpg,13.30,11.90,8.30,12,380,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","996 - MUSTARD-FOODSERVICE PORTION",402388,5700000994,057000009946,"HZ MUSTARD PORTIONS 6ML",7.00,12.82,17.31,20.26,EDM,26,EDM402388,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/402388/402388.jpg,12.00,8.00,5.10,1,500,PK
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","405 - MUSTARD-MCCORMICK 100ML",313965,6620000960,066200009601,"KEENS HOT MUST",5.53,23.89,32.25,37.75,EDM,84,EDM313965,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/313965/313965.jpg,8.80,6.70,3.70,12,100,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","510 - MUSTARD-MAILLE SPEC 200-235ML",6215297,871120044374,871120044374,"MAILLE DIJON HNY MUSTRD",7.36,21.80,29.43,34.44,EDM,1,EDM6215297,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/6215297/6215297.jpg,11.70,6.80,6.20,8,235,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","995 - MUSTARD-FOODSERVICE",6255558,4364600029,043646000294,"MAILLE DIJON MSTRD OLD    STYLE",35.01,26.25,35.44,41.48,EDM,0,EDM6255558,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/6255558/6255558.jpg,13.20,13.00,10.00,1,3.7,KG
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","995 - MUSTARD-FOODSERVICE",6255541,4364600028,043646000287,"MAILLE DIJON MSTRD SMOOTH",35.01,26.25,35.44,41.48,EDM,0,EDM6255541,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/6255541/6255541.jpg,13.20,13.00,10.00,1,4.1,KG
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","500 - MUSTARD-MAILLE SPEC 200ML",267450,4364620128,043646201288,"MAILLE DIJON MUSTARD",8.99,30.65,41.38,48.43,EDM,53,EDM267450,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/267450/267450.jpg,10.80,8.10,3.70,12,200,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","510 - MUSTARD-MAILLE SPEC 200-235ML",6215263,871120044380,871120044380,"MAILLE DIJON MUSTARD ORG",6.94,21.78,29.4,34.41,EDM,9,EDM6215263,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/6215263/6215263.jpg,11.70,6.80,6.20,8,235,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","505 - MUSTARD-MAILLE SPEC 500ML",244608,4364620129,043646201295,"MAILLE DIJON MUSTARD ORIGINAL",21.27,54.98,74.22,86.87,CAL,74,CAL244608,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/244608/244608.jpg,14.30,10.80,5.10,12,500,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","510 - MUSTARD-MAILLE SPEC 200-235ML",6241848,871120044378,871120044378,"MAILLE MUSTD OLD STYLE",6.79,21.78,29.4,34.41,EDM,51,EDM6241848,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/6241848/6241848.jpg,10.80,8.10,3.70,8,235,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","600 - MUSTARD-MISC OLD STYLE 375ML",291872,6280230283,062802302836,"OLDE STYLE HNY MSTD SAUCE",13.75,28.93,39.06,45.71,EDM,132,EDM291872,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/291872/291872.jpg,11.20,6.40,8.40,12,375,ML
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","995 - MUSTARD-FOODSERVICE",691188,75931801027,759318010279,"PC MUSTARD",19.40,13.61,18.37,21.5,EDM,61,EDM691188,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/691188/691188.jpg,12.00,12.00,6.50,2,4,LT
"1 - GROCERY",CONDIMENTS,"20 - MUSTARD","996 - MUSTARD-FOODSERVICE PORTION",844464,75931801021,759318010217,"PC MUSTARD 7G",9.20,9.90,13.37,15.64,EDM,118,EDM844464,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/844464/844464.jpg,13.20,9.50,11.20,1,500,PK
"1 - GROCERY",CONDIMENTS,"30 - RELISH","995 - RELISH-FOODSERVICE",579391,5900007459,059000074597,"BICKS RELISH CORN SWEET",25.15,30.32,40.93,47.91,EDM,4,EDM579391,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/579391/579391.jpg,14.00,7.00,11.00,2,4,LT
"1 - GROCERY",CONDIMENTS,"30 - RELISH","995 - RELISH-FOODSERVICE",579425,5900007563,059000075631,"BICKS RELISH ZEST BRAND",19.84,19.73,26.64,31.17,EDM,19,EDM579425,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/579425/579425.jpg,12.20,6.30,12.60,2,4,LT
"1 - GROCERY",CONDIMENTS,"30 - RELISH","220 - RELISH-BICKS MISC",235457,5900000342,059000003429,"BICKS SQZ SWT RELISH BITS",16.99,32.27,43.56,50.99,EDM,52,EDM235457,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/235457/235457.jpg,12.90,7.50,7.90,12,500,ML
"1 - GROCERY",CONDIMENTS,"30 - RELISH","200 - RELISH-BICKS 375ML",436485,5900000477,059000004778,"BICKS SWEET GREEN RELISH",16.49,21.37,28.85,33.76,EDM,62,EDM436485,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/436485/436485.jpg,13.80,10.40,3.90,12,375,ML
"1 - GROCERY",CONDIMENTS,"30 - RELISH","995 - RELISH-FOODSERVICE",400358,6876157031,068761570316,"PC RELISH SWEET GREEN",20.80,19.01,25.66,30.04,EDM,18,EDM400358,"Bulk Foods & Wholesale Grocery>CONDIMENTS",,10.00,10.00,10.00,2,4,LT
"1 - GROCERY",CONDIMENTS,"30 - RELISH","995 - RELISH-FOODSERVICE",821744,75931801032,759318010323,"PC RELISH SWEET GREEN 7ML",10.20,17.22,23.25,27.21,EDM,26,EDM821744,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/821744/821744.jpg,13.00,9.50,5.50,1,500,PK
"1 - GROCERY",CONDIMENTS,"30 - RELISH","995 - RELISH-FOODSERVICE",920637,500019740330,500019740330,"SHARWOODS CHUTNEY MANGO",6.06,18.90,25.52,29.86,EDM,9,EDM920637,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/920637/920637.jpg,5.00,10.10,8.10,1,2.6,KG
"1 - GROCERY",CONDIMENTS,"30 - RELISH","500 - RELISH-STRUB'S 375ML",279695,6777399008,067773990082,"STRUBS RELISH  SWT GRN GF",16.53,22.32,30.13,35.27,EDM,13,EDM279695,"Bulk Foods & Wholesale Grocery>CONDIMENTS",https://test.tgp.crs/item_images/279695/279695.jpg,11.00,8.20,5.50,12,375,ML
