"Major Department","Minor Department","Major Category","Minor Category",Item,UPC,"UPC Fixed",Description,"Case (LBS)","Landed Cost","Sale Price","Regular Price",Code,Stock,SKU,Category,Images,l,w,h,Pack,Size,Measure
"1 - GROCERY","PET FOOD","71 - DOG TREATS","420 - DOG TRTS-PURINA 170G-198G",723015,5580052003,055800520036,"PURINA BEGGIN STRIPS BACN",3.41,19.08,25.76,30.15,EDM,87,EDM723015,"Pet Food and Supplies>PET FOOD",https://test.tgp.crs/item_images/723015/723015.jpg,11.60,9.80,7.60,6,170,GR
"1 - GROCERY","CANNED FISH & MEAT","11 - CANNED SALMON","130 - CANNED PINK SALMON C.LEAF 213G",357988,6136240700,061362407005,"C/LEAF PINK SALMON",28.99,166.20,224.37,262.6,EDM,22,EDM357988,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/357988/357988.jpg,13.70,10.20,7.80,48,213,GR
"1 - GROCERY","CANNED FISH & MEAT","16 - SNACK KITS","100 - SNACK KITS CLOVER LEAF TUNA 90GR",935486,6136243382,061362433820,"C.LEAF TUNA KIT CLASS",3.99,22.28,30.08,35.2,EDM,52,EDM935486,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/935486/935486.jpg,10.20,6.10,5.50,12,90,GR
"1 - GROCERY","CANNED FISH & MEAT","25 - POUCH TUNA","250 - OCEANS POUCH TUNA FLAVORS",6211940,6530285101,065302851019,"OCEANS TUNA GINGER LEMON  SESAME",5.95,38.69,52.23,61.13,EDM,13,EDM6211940,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/6211940/6211940.jpg,10.10,7.20,6.10,24,90,GR
"1 - GROCERY","CANNED FISH & MEAT","26 - CANNED SHRIMP","210 - CAN SHRIMP C.LEAF COCKTAIL 106G",689281,6136244370,061362443706,"C.LEAF CCKTAIL SHRIMP",13.22,80.23,108.31,126.76,EDM,24,EDM689281,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/689281/689281.jpg,20.80,7.00,3.50,24,106,GR
"1 - GROCERY","CANNED FISH & MEAT","31 - CANNED OYSTERS","200 - CAN OYSTERS C.LEAF SMOKED 85G",497115,6136244430,061362444307,"C/LEAF SMOKED OYSTERS",7.93,42.99,58.04,67.92,EDM,181,EDM497115,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/497115/497115.jpg,12.90,5.10,5.10,24,85,GR
"1 - GROCERY","CANNED FISH & MEAT","36 - CANNED MUSSLES","100 - CANNED MUSSLES C.LEAF 85G",497180,6136244550,061362445502,"C/LEAF SMOKED MUSSELS",7.01,42.97,58.01,67.89,EDM,52,EDM497180,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/497180/497180.jpg,12.90,4.90,4.90,24,85,GR
"1 - GROCERY","CANNED FISH & MEAT","41 - CANNED SARDINES","100 - CAN SARDINES BRUNSWICK 106G",354647,6661300005,066613000059,"BRUNSWICK SARDINES IN OIL",6.00,26.27,35.46,41.51,EDM,34,EDM354647,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/354647/354647.jpg,15.20,4.60,3.00,18,106,GR
"1 - GROCERY","CANNED FISH & MEAT","44 - CANNED MACKEREL","100 - GOLD SEAL MACKEREL SKIN/BONE LESS",2450930,6381638210,063816382104,"GOLD SEAL       MACKEREL  MEDITERRA",3.80,27.10,36.59,42.82,EDM,34,EDM2450930,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/2450930/2450930.jpg,12.50,4.80,2.60,12,115,GR
"1 - GROCERY","CANNED FISH & MEAT","51 - CANNED CLAMS","100 - CANNED CLAMS C.LEAF WHOLE 142G",721589,6136244200,061362442006,"C/LEAF WHOLE BABY CLAMS",9.63,30.17,40.73,47.67,EDM,62,EDM721589,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/721589/721589.jpg,16.40,5.50,3.90,12,142,GR
